PreC_#,Team Name,PreC_M,PreC_W,PreC_D,PreC_L,PreC_Dif,PreC_Pt,PreC_F,PreC_A,Final_#,PostC_M,PostC_W,PostC_D,PostC_L,PostC_Dif,PostC_Pt,PostC_F,PostC_A,PostC_PPG,PreC_PPG,PPG_Diff,season
1,Juventus,26,20,3,3,26,63,50,24,1,12,6,2,4,7,20,26,19,1.67,2.42,-0.75,2019-2020
2,Lazio Roma,26,19,5,2,37,62,60,23,4,12,5,1,6,0,16,19,19,1.33,2.38,-1.05,2019-2020
3,Inter,26,17,6,3,26,57,51,25,2,12,7,4,1,19,25,30,11,2.08,2.19,-0.11,2019-2020
4,Atalanta,26,15,6,5,39,51,74,35,3,12,8,3,1,11,27,24,13,2.25,1.96,0.29,2019-2020
5,AS Roma,26,13,6,7,16,45,51,35,5,12,8,1,3,10,25,26,16,2.08,1.73,0.35,2019-2020
6,SSC Napoli,26,11,6,9,5,39,41,36,7,12,7,2,3,6,23,20,14,1.92,1.5,0.42,2019-2020
7,Hellas Verona,26,10,8,8,4,38,31,27,9,12,2,5,5,-8,11,16,24,0.92,1.46,-0.54,2019-2020
8,AC Milan,26,10,6,10,-6,36,28,34,6,12,9,3,0,23,30,35,12,2.5,1.38,1.12,2019-2020
9,Parma Calcio 1913,26,10,6,10,1,36,33,32,11,12,4,1,7,-2,13,23,25,1.08,1.38,-0.3,2019-2020
10,Bologna FC,26,9,7,10,-4,34,38,42,12,12,3,4,5,-9,13,14,23,1.08,1.31,-0.23,2019-2020
11,Sassuolo Calcio,26,9,5,12,-1,32,42,43,8,12,5,4,3,7,19,27,20,1.58,1.23,0.35,2019-2020
12,Cagliari Calcio,26,8,8,10,0,32,42,42,14,12,3,4,5,-4,13,10,14,1.08,1.23,-0.15,2019-2020
13,ACF Fiorentina,26,7,9,10,-4,30,32,36,10,12,5,4,3,7,19,19,12,1.58,1.15,0.43,2019-2020
14,Torino FC,26,8,4,14,-17,28,29,46,16,12,3,3,6,-5,12,17,22,1.0,1.08,-0.08,2019-2020
15,Udinese Calcio,26,7,7,12,-16,28,21,37,13,12,5,2,5,2,17,16,14,1.42,1.08,0.34,2019-2020
16,Sampdoria,26,7,5,14,-17,26,29,46,15,12,5,1,6,0,16,19,19,1.33,1.0,0.33,2019-2020
17,Genoa CFC,26,6,7,13,-16,25,31,47,17,12,4,2,6,-10,14,16,26,1.17,0.96,0.21,2019-2020
18,US Lecce,26,6,7,13,-22,25,34,56,18,12,3,1,8,-11,10,18,29,0.83,0.96,-0.13,2019-2020
19,SPAL 2013 Ferrara,26,5,3,18,-24,18,20,44,20,12,0,2,10,-26,2,7,33,0.17,0.69,-0.52,2019-2020
20,Brescia Calcio,26,4,4,18,-27,16,22,49,19,12,2,3,7,-17,9,13,30,0.75,0.62,0.13,2019-2020
1,Juventus,26,23,3,0,39,72,55,16,1,12,5,3,4,1,18,15,14,1.5,2.77,-1.27,2018-2019
2,SSC Napoli,26,17,5,4,27,56,47,20,2,12,7,2,3,11,23,27,16,1.92,2.15,-0.23,2018-2019
3,AC Milan,26,13,9,4,17,48,39,22,5,12,6,2,4,2,20,16,14,1.67,1.85,-0.18,2018-2019
4,Inter,26,14,5,7,16,47,38,22,4,12,6,4,2,8,22,19,11,1.83,1.81,0.02,2018-2019
5,AS Roma,26,12,8,6,13,44,49,36,6,12,6,4,2,5,22,17,12,1.83,1.69,0.14,2018-2019
6,Lazio Roma,26,13,5,8,11,44,38,27,8,12,4,3,5,-1,15,18,19,1.25,1.69,-0.44,2018-2019
7,Atalanta,26,12,5,9,17,41,54,37,3,12,8,4,0,14,28,23,9,2.33,1.58,0.75,2018-2019
8,Torino FC,26,10,11,5,11,41,33,22,7,12,6,4,2,4,22,19,15,1.83,1.58,0.25,2018-2019
9,Sampdoria,26,11,6,9,10,39,43,33,9,12,4,2,6,-1,14,17,18,1.17,1.5,-0.33,2018-2019
10,ACF Fiorentina,26,8,12,6,9,36,41,32,16,12,0,5,7,-7,5,6,13,0.42,1.38,-0.96,2018-2019
11,Sassuolo Calcio,26,7,10,9,-6,31,35,41,11,12,2,6,4,-1,12,18,19,1.0,1.19,-0.19,2018-2019
12,Genoa CFC,26,7,9,10,-9,30,32,41,17,12,1,5,6,-9,8,7,16,0.67,1.15,-0.48,2018-2019
13,Parma Calcio 1913,26,8,6,12,-12,30,28,40,14,12,2,5,5,-8,11,13,21,0.92,1.15,-0.23,2018-2019
14,Cagliari Calcio,26,6,9,11,-14,27,23,37,15,12,4,2,6,-4,14,13,17,1.17,1.04,0.13,2018-2019
15,Udinese Calcio,26,6,7,13,-13,25,21,34,12,12,5,3,4,-1,18,18,19,1.5,0.96,0.54,2018-2019
16,SPAL 2013 Ferrara,26,5,8,13,-16,23,23,39,13,12,6,1,5,4,19,21,17,1.58,0.88,0.7,2018-2019
17,Empoli FC,26,5,7,14,-18,22,33,51,18,12,5,1,6,-1,16,18,19,1.33,0.85,0.48,2018-2019
18,Bologna FC,26,3,9,14,-20,18,20,40,10,12,8,2,2,12,26,28,16,2.17,0.69,1.48,2018-2019
19,Frosinone Calcio,26,3,8,15,-30,17,19,49,19,12,2,2,8,-10,8,10,20,0.67,0.65,0.02,2018-2019
20,Chievo Verona,26,1,10,15,-32,10,19,51,20,12,1,4,7,-18,7,6,24,0.58,0.38,0.2,2018-2019
1,SSC Napoli,26,22,3,1,45,69,60,15,2,12,6,4,2,3,22,17,14,1.83,2.65,-0.82,2017-2018
2,Juventus,26,22,2,2,49,68,64,15,1,12,8,3,1,13,27,22,9,2.25,2.62,-0.37,2017-2018
3,Lazio Roma,26,16,4,6,31,52,64,33,5,12,5,5,2,9,20,25,16,1.67,2.0,-0.33,2017-2018
4,Inter,26,14,9,3,21,51,42,21,4,12,6,3,3,15,21,24,9,1.75,1.96,-0.21,2017-2018
5,AS Roma,26,15,5,6,19,50,40,21,3,12,8,3,1,14,27,21,7,2.25,1.92,0.33,2017-2018
6,Sampdoria,26,13,5,8,12,44,46,34,10,12,3,1,8,-16,10,10,26,0.83,1.69,-0.86,2017-2018
7,AC Milan,26,13,5,8,7,44,37,30,6,12,5,5,2,7,20,19,12,1.67,1.69,-0.02,2017-2018
8,Atalanta,26,10,8,8,6,38,37,31,7,12,6,4,2,12,22,20,8,1.83,1.46,0.37,2017-2018
9,Torino FC,26,8,12,6,4,36,36,32,9,12,5,3,4,4,18,18,14,1.5,1.38,0.12,2017-2018
10,ACF Fiorentina,26,9,8,9,3,35,35,32,8,12,7,1,4,5,22,19,14,1.83,1.35,0.48,2017-2018
11,Bologna FC,26,10,3,13,-5,33,33,38,15,12,1,3,8,-7,6,7,14,0.5,1.27,-0.77,2017-2018
12,Udinese Calcio,26,10,3,13,-1,33,37,38,14,12,2,1,9,-14,7,11,25,0.58,1.27,-0.69,2017-2018
13,Genoa CFC,26,8,6,12,-6,30,21,27,12,12,3,2,7,-4,11,12,16,0.92,1.15,-0.23,2017-2018
